Breakdown,Value,ticker
zip,10500,PAM.AX
sector,Basic Materials,PAM.AX
longBusinessSummary,"Pan Asia Metals Limited operates as a specialty metals explorer and developer in South East Asia. The company owns two tungsten projects and two lithium projects. It primarily holds 100% interests in the Khao Soon tungsten, Reung Kiet lithium, and Bang Now lithium projects located in Southern Thailand; and the Minter tungsten project located in Australia. The company was incorporated in 2017 and is based in Bangkok, Thailand.",PAM.AX
city,Bangkok,PAM.AX
phone,66 2 238 1639,PAM.AX
country,Thailand,PAM.AX
website,https://www.panasiametals.com,PAM.AX
maxAge,86400,PAM.AX
address1,52 Thaniya Plaza,PAM.AX
industry,Other Industrial Metals & Mining,PAM.AX
address2,Level 23 Silom Road Bangrak,PAM.AX
