Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,105867044.0,56782098.0,14783989.0,2191508.0,PBH.AX
totalLiab,176306513.0,39046563.0,20034172.0,6647109.0,PBH.AX
totalStockholderEquity,448149188.0,177125296.0,74506721.0,4393477.0,PBH.AX
otherCurrentLiab,38787048.0,11592753.0,10125024.0,4301733.0,PBH.AX
totalAssets,624455701.0,216171859.0,94540893.0,11040586.0,PBH.AX
commonStock,666129692.0,261758201.0,124641045.0,14329174.0,PBH.AX
retainedEarnings,-280613148.0,-93482644.0,-52019255.0,-10134105.0,PBH.AX
otherLiab,86510167.0,4428247.0,88137.0,,PBH.AX
goodWill,36705812.0,,,,PBH.AX
treasuryStock,62632644.0,8849739.0,1884931.0,198408.0,PBH.AX
otherAssets,149559110.0,1507985.0,559354.0,,PBH.AX
cash,276158305.0,144338937.0,75885880.0,7540201.0,PBH.AX
totalCurrentLiabilities,80759950.0,26449665.0,19946035.0,6647109.0,PBH.AX
otherStockholderEquity,62632644.0,8849739.0,1884931.0,198408.0,PBH.AX
propertyPlantEquipment,16859299.0,11573532.0,1836065.0,236987.0,PBH.AX
totalCurrentAssets,315244186.0,146088216.0,77148481.0,8312782.0,PBH.AX
longTermInvestments,220250.0,220028.0,772358.0,299309.0,PBH.AX
netTangibleAssets,305576332.0,120343198.0,59722732.0,2201969.0,PBH.AX
netReceivables,1874393.0,272151.0,495360.0,125585.0,PBH.AX
accountsPayable,6174298.0,7476563.0,4858109.0,1045093.0,PBH.AX
otherCurrentAssets,,,767241.0,,PBH.AX
