Breakdown,Value,ticker
zip,2000,PCH.AX
sector,Technology,PCH.AX
longBusinessSummary,"Property Connect Holdings Limited operates as a real estate services and technology company in Australia. It offers LiveOffer, a platform for purchase, rental, and sale of properties. The company was founded in 2012 and is based in Sydney, Australia.",PCH.AX
city,Sydney,PCH.AX
phone,61 2 9891 6044,PCH.AX
state,NSW,PCH.AX
country,Australia,PCH.AX
website,https://www.propertyconnect.com,PCH.AX
maxAge,86400,PCH.AX
address1,20 Bridge Street,PCH.AX
fax,61 2 9891 6146,PCH.AX
industry,Software—Application,PCH.AX
address2,Suite 3 Level 8,PCH.AX
