Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,209000.0,196000.0,136410.0,77501.0,PET.AX
totalLiab,8550000.0,9680000.0,3486575.0,6368439.0,PET.AX
totalStockholderEquity,29473000.0,25757000.0,23996741.0,14149808.0,PET.AX
otherCurrentLiab,1580000.0,1937000.0,1083433.0,1243215.0,PET.AX
totalAssets,38023000.0,35437000.0,27483316.0,20425333.0,PET.AX
commonStock,92459000.0,63387000.0,59900892.0,51298783.0,PET.AX
otherCurrentAssets,119000.0,327000.0,36462.0,36003.0,PET.AX
retainedEarnings,-63971000.0,-38237000.0,-41910462.0,-41137177.0,PET.AX
treasuryStock,985000.0,607000.0,6006311.0,3988202.0,PET.AX
cash,30441000.0,14959000.0,4878095.0,4324053.0,PET.AX
totalCurrentLiabilities,5258000.0,9335000.0,3445734.0,6326429.0,PET.AX
otherStockholderEquity,985000.0,607000.0,6006311.0,3988202.0,PET.AX
propertyPlantEquipment,238000.0,2265000.0,1465992.0,1474023.0,PET.AX
totalCurrentAssets,37576000.0,32976000.0,25497025.0,18146389.0,PET.AX
netTangibleAssets,29264000.0,25561000.0,23860331.0,14072307.0,PET.AX
netReceivables,2726000.0,12443000.0,17914108.0,11730790.0,PET.AX
inventory,3959000.0,4726000.0,2408321.0,1772897.0,PET.AX
accountsPayable,2285000.0,5992000.0,1974141.0,4409440.0,PET.AX
otherLiab,,19000.0,40841.0,42010.0,PET.AX
otherAssets,,,383889.0,727420.0,PET.AX
deferredLongTermAssetCharges,,,358314.0,702420.0,PET.AX
minorityInterest,,,,-92914.0,PET.AX
shortLongTermDebt,,,,310022.0,PET.AX
