Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,PGH.AX
effectOfAccountingCharges,,,,,PGH.AX
incomeBeforeTax,123290000,110046000,-313880000,109125000,PGH.AX
minorityInterest,,,,,PGH.AX
netIncome,87534000,88847000,-289587000,74488000,PGH.AX
sellingGeneralAdministrative,731922000,734585000,771574000,716317000,PGH.AX
grossProfit,1027397000,1022983000,977878000,939928000,PGH.AX
ebit,163462000,152854000,124014000,150866000,PGH.AX
operatingIncome,163462000,152854000,124014000,150866000,PGH.AX
otherOperatingExpenses,,,,,PGH.AX
interestExpense,-49926000,-60641000,-35596000,-27302000,PGH.AX
extraordinaryItems,,,,,PGH.AX
nonRecurring,,,,,PGH.AX
otherItems,,,,,PGH.AX
incomeTaxExpense,35756000,21199000,-24293000,34637000,PGH.AX
totalRevenue,1761572000,1809158000,1834076000,1674188000,PGH.AX
totalOperatingExpenses,1598110000,1656304000,1710062000,1523322000,PGH.AX
costOfRevenue,734175000,786175000,856198000,734260000,PGH.AX
totalOtherIncomeExpenseNet,-40172000,-42808000,-437894000,-41741000,PGH.AX
discontinuedOperations,,,,,PGH.AX
netIncomeFromContinuingOps,87534000,88847000,-289587000,74488000,PGH.AX
netIncomeApplicableToCommonShares,87534000,88847000,-289587000,74488000,PGH.AX
