Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,7595000.0,-1109000.0,2040000.0,4808000.0,PIA.AX
totalCashFromFinancingActivities,-14697000.0,-15194000.0,-9976000.0,-13710000.0,PIA.AX
netIncome,59988000.0,24132000.0,16707000.0,24608000.0,PIA.AX
changeInCash,-31237000.0,3666000.0,-7141000.0,15126000.0,PIA.AX
effectOfExchangeRate,3000.0,1000.0,-40000.0,29000.0,PIA.AX
totalCashFromOperatingActivities,-16543000.0,18859000.0,2875000.0,28807000.0,PIA.AX
dividendsPaid,-14697000.0,-14179000.0,-16296000.0,-15665000.0,PIA.AX
changeToAccountReceivables,-197000.0,-33000.0,239000.0,-127000.0,PIA.AX
changeToNetincome,-84969000.0,-9093000.0,-16333000.0,-195000.0,PIA.AX
changeToOperatingActivities,,31000.0,-16000.0,-11000.0,PIA.AX
repurchaseOfStock,,-1015000.0,-1015000.0,-1015000.0,PIA.AX
issuanceOfStock,,,6327000.0,2257000.0,PIA.AX
otherCashflowsFromFinancingActivities,,,-7000.0,-302000.0,PIA.AX
