Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,-84012.0,56737.0,-18333.0,-5329.0,PNX.AX
totalCashflowsFromInvestingActivities,-3626552.0,-1741184.0,-5394057.0,-2947432.0,PNX.AX
netBorrowings,-2962.0,-2962.0,-2962.0,-2962.0,PNX.AX
totalCashFromFinancingActivities,6470271.0,1602379.0,8551879.0,3108208.0,PNX.AX
changeToOperatingActivities,16472.0,10814.0,-13946.0,21699.0,PNX.AX
issuanceOfStock,6657432.0,1610000.0,8944398.0,2463215.0,PNX.AX
netIncome,-1256079.0,-1505525.0,-1079982.0,-1000675.0,PNX.AX
changeInCash,1659531.0,-830970.0,1943615.0,-570554.0,PNX.AX
totalCashFromOperatingActivities,-1184188.0,-692164.0,-1214207.0,-731330.0,PNX.AX
depreciation,11077.0,507591.0,143977.0,5263.0,PNX.AX
otherCashflowsFromInvestingActivities,-34068.0,41780.0,36317.0,32736.0,PNX.AX
changeToAccountReceivables,35228.0,263092.0,-225149.0,142133.0,PNX.AX
otherCashflowsFromFinancingActivities,-184199.0,-7621.0,-392519.0,644993.0,PNX.AX
changeToNetincome,93126.0,-24873.0,-20774.0,105579.0,PNX.AX
capitalExpenditures,-2417484.0,-4282964.0,-2960805.0,-3030168.0,PNX.AX
investments,,2500000.0,-2500000.0,-2500000.0,PNX.AX
