Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,27592453.0,14481486.0,16258320.0,7985310.0,PPE.AX
totalLiab,102798114.0,71042652.0,78436750.0,29685184.0,PPE.AX
totalStockholderEquity,112233468.0,96773271.0,68115208.0,42944633.0,PPE.AX
minorityInterest,2368997.0,,,,PPE.AX
otherCurrentLiab,12043944.0,4471588.0,4276117.0,649364.0,PPE.AX
totalAssets,217400579.0,167815923.0,146551958.0,72629817.0,PPE.AX
commonStock,83131730.0,78230119.0,60205498.0,39698791.0,PPE.AX
otherCurrentAssets,1680363.0,1466252.0,1053007.0,552677.0,PPE.AX
retainedEarnings,26944859.0,17519008.0,7317935.0,3073334.0,PPE.AX
otherLiab,7427454.0,6893817.0,11694461.0,1541215.0,PPE.AX
goodWill,89355381.0,72977230.0,63057183.0,25586980.0,PPE.AX
treasuryStock,2156879.0,1024144.0,591775.0,172508.0,PPE.AX
otherAssets,17210.0,,,,PPE.AX
cash,13721681.0,31464965.0,21328339.0,4806541.0,PPE.AX
totalCurrentLiabilities,66730663.0,43254852.0,41360375.0,25971222.0,PPE.AX
shortLongTermDebt,4941316.0,3847316.0,3847316.0,710000.0,PPE.AX
otherStockholderEquity,2156879.0,1024144.0,591775.0,172508.0,PPE.AX
propertyPlantEquipment,9061076.0,6233153.0,7000045.0,2048551.0,PPE.AX
totalCurrentAssets,91380468.0,74124054.0,60236410.0,33752145.0,PPE.AX
longTermInvestments,-6009.0,,,3256831.0,PPE.AX
netTangibleAssets,-4714366.0,9314555.0,-11200295.0,9372343.0,PPE.AX
netReceivables,75978424.0,41192837.0,37855064.0,28392927.0,PPE.AX
longTermDebt,23442058.0,17663374.0,21200670.0,1775000.0,PPE.AX
accountsPayable,22141185.0,16156168.0,12171487.0,9521485.0,PPE.AX
