Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
changeToLiabilities,4160000.0,3877000.0,5652000.0,-5342000.0,PSA.AX
totalCashflowsFromInvestingActivities,1377000.0,-3488000.0,-1322000.0,-4253000.0,PSA.AX
netBorrowings,442000.0,3828000.0,4500000.0,492000.0,PSA.AX
totalCashFromFinancingActivities,581000.0,3828000.0,4500000.0,2449000.0,PSA.AX
issuanceOfStock,138000.0,138000.0,138000.0,1957000.0,PSA.AX
netIncome,1266000.0,-24241000.0,-10050000.0,-11964000.0,PSA.AX
changeInCash,217000.0,-1952000.0,-667000.0,-6240000.0,PSA.AX
effectOfExchangeRate,14000.0,14000.0,-69000.0,473000.0,PSA.AX
totalCashFromOperatingActivities,-1755000.0,-2292000.0,-3776000.0,-4909000.0,PSA.AX
depreciation,22000.0,9993000.0,2271000.0,4722000.0,PSA.AX
changeToAccountReceivables,-963000.0,710000.0,-83000.0,4095000.0,PSA.AX
otherCashflowsFromFinancingActivities,1000.0,1000.0,1000.0,1000.0,PSA.AX
changeToNetincome,-6240000.0,7215000.0,114000.0,207000.0,PSA.AX
changeToOperatingActivities,,154000.0,-1680000.0,3373000.0,PSA.AX
capitalExpenditures,,-3488000.0,-2649000.0,-4253000.0,PSA.AX
