Breakdown,Value,ticker
zip,6005,PSC.AX
sector,Basic Materials,PSC.AX
longBusinessSummary,"Prospect Resources Limited engages in the exploration, evaluation, and development of mineral resources in Zimbabwe. The company primarily explores for lithium deposits. Its flagship project is the Arcadia lithium project that covers an area of approximately 10 square kilometers of granted mining lease located to the east of Harare, Zimbabwe. The company was incorporated in 2007 and is headquartered in West Perth, Australia.",PSC.AX
city,West Perth,PSC.AX
phone,61 4 0552 4960,PSC.AX
state,WA,PSC.AX
compensationAsOfEpochDate,1640908800,PSC.AX
country,Australia,PSC.AX
website,https://www.prospectresources.com.au,PSC.AX
maxAge,86400,PSC.AX
address1,33 Richardson Street,PSC.AX
fax,61 8 9362 2805,PSC.AX
industry,Other Industrial Metals & Mining,PSC.AX
address2,Level 2,PSC.AX
