Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
intangibleAssets,8339545.0,8987423.0,PTG.AX
totalLiab,9234318.0,12142107.0,PTG.AX
totalStockholderEquity,28928533.0,15789320.0,PTG.AX
otherCurrentLiab,3626932.0,6145790.0,PTG.AX
totalAssets,38162851.0,27931427.0,PTG.AX
commonStock,30300043.0,16159312.0,PTG.AX
otherCurrentAssets,44549.0,,PTG.AX
retainedEarnings,-1385934.0,-384581.0,PTG.AX
otherLiab,2172878.0,4793355.0,PTG.AX
goodWill,21070565.0,15542139.0,PTG.AX
treasuryStock,14424.0,14589.0,PTG.AX
otherAssets,373952.0,557756.0,PTG.AX
cash,6581850.0,2474815.0,PTG.AX
totalCurrentLiabilities,6852038.0,7348752.0,PTG.AX
deferredLongTermAssetCharges,373952.0,557756.0,PTG.AX
otherStockholderEquity,14424.0,14589.0,PTG.AX
propertyPlantEquipment,424899.0,18014.0,PTG.AX
totalCurrentAssets,7953890.0,2826095.0,PTG.AX
netTangibleAssets,-481577.0,-8740242.0,PTG.AX
shortTermInvestments,150000.0,,PTG.AX
netReceivables,921446.0,328762.0,PTG.AX
accountsPayable,696920.0,605347.0,PTG.AX
