Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,PTR.AX
effectOfAccountingCharges,,,,,PTR.AX
incomeBeforeTax,17868244,-455012,-678169,-552631,PTR.AX
minorityInterest,,,,,PTR.AX
netIncome,17868244,-455012,-678169,-552631,PTR.AX
sellingGeneralAdministrative,340197,337707,341534,306167,PTR.AX
grossProfit,-259875,-66064,-168199,-141160,PTR.AX
ebit,-661499,-488408,-751829,-569965,PTR.AX
operatingIncome,-661499,-488408,-751829,-569965,PTR.AX
otherOperatingExpenses,-12028,35371,-80363,-80363,PTR.AX
interestExpense,,,,,PTR.AX
extraordinaryItems,,,,,PTR.AX
nonRecurring,,,,,PTR.AX
otherItems,,,,,PTR.AX
incomeTaxExpense,0,0,0,0,PTR.AX
totalRevenue,31794,66994,0,0,PTR.AX
totalOperatingExpenses,693293,555402,751829,569965,PTR.AX
costOfRevenue,291669,133058,168199,141160,PTR.AX
totalOtherIncomeExpenseNet,18529743,33396,73660,17334,PTR.AX
discontinuedOperations,,,,,PTR.AX
netIncomeFromContinuingOps,17868244,-455012,-678169,-552631,PTR.AX
netIncomeApplicableToCommonShares,17868244,-455012,-678169,-552631,PTR.AX
