Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,1017112.0,685798.0,559025.0,1917251.0,PUA.AX
totalStockholderEquity,3698952.0,7170482.0,9807309.0,13023748.0,PUA.AX
otherCurrentLiab,79814.0,13722.0,286029.0,1595708.0,PUA.AX
totalAssets,4716064.0,7856280.0,10366334.0,14940999.0,PUA.AX
commonStock,90445889.0,84940191.0,84672745.0,81578502.0,PUA.AX
retainedEarnings,-87253691.0,-77970557.0,-75066284.0,-68640102.0,PUA.AX
otherLiab,297191.0,313641.0,8304.0,,PUA.AX
treasuryStock,506754.0,200848.0,200848.0,85348.0,PUA.AX
otherAssets,615000.0,636750.0,30000.0,,PUA.AX
cash,474879.0,484659.0,1359551.0,1604922.0,PUA.AX
totalCurrentLiabilities,664601.0,297863.0,550721.0,1917251.0,PUA.AX
otherStockholderEquity,506754.0,200848.0,200848.0,85348.0,PUA.AX
propertyPlantEquipment,3396662.0,6685147.0,3056485.0,3655580.0,PUA.AX
totalCurrentAssets,704402.0,534383.0,7279849.0,11255419.0,PUA.AX
netTangibleAssets,3698952.0,7170482.0,9807309.0,13023748.0,PUA.AX
netReceivables,201842.0,31015.0,313548.0,41765.0,PUA.AX
accountsPayable,536959.0,225165.0,221028.0,301466.0,PUA.AX
otherCurrentAssets,,,5606750.0,9606750.0,PUA.AX
longTermInvestments,,,,30000.0,PUA.AX
