Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,99596.0,89466.0,2215188.0,4040698.0,PVL.AX
totalStockholderEquity,8309899.0,5808273.0,5547002.0,9415048.0,PVL.AX
totalAssets,8409495.0,5897739.0,7762190.0,13455746.0,PVL.AX
commonStock,36857120.0,32657563.0,32343226.0,32803403.0,PVL.AX
retainedEarnings,-26901958.0,-25328115.0,-25278371.0,-21309306.0,PVL.AX
treasuryStock,-1645263.0,-1521175.0,-1517853.0,-2079049.0,PVL.AX
cash,4813464.0,1369715.0,122594.0,1052690.0,PVL.AX
totalCurrentLiabilities,99596.0,73473.0,2215187.0,4040698.0,PVL.AX
otherStockholderEquity,-1643127.0,-1519039.0,-1515717.0,-1447501.0,PVL.AX
totalCurrentAssets,5228143.0,1415672.0,219049.0,1885439.0,PVL.AX
longTermInvestments,3181352.0,4467899.0,7541168.0,11549973.0,PVL.AX
netTangibleAssets,8309899.0,5808273.0,5547002.0,9415048.0,PVL.AX
netReceivables,365365.0,6715.0,63184.0,689876.0,PVL.AX
accountsPayable,39420.0,21308.0,72381.0,945171.0,PVL.AX
propertyPlantEquipment,,14168.0,1972.0,20334.0,PVL.AX
otherLiab,,,1.0,,PVL.AX
otherAssets,,,1.0,,PVL.AX
shortLongTermDebt,,,,818118.0,PVL.AX
