Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,563000,71000,920000,476000,PWH.AX
totalCashflowsFromInvestingActivities,-10282000,-6665000,-5925000,-4876000,PWH.AX
netBorrowings,-10404000,3330000,3246000,-281000,PWH.AX
totalCashFromFinancingActivities,-17216000,-8472000,-4554000,-6081000,PWH.AX
changeToOperatingActivities,4223000,-815000,653000,-942000,PWH.AX
netIncome,16797000,13049000,14206000,11001000,PWH.AX
changeInCash,-948000,582000,8113000,3046000,PWH.AX
effectOfExchangeRate,141000,-450000,-59000,-9000,PWH.AX
totalCashFromOperatingActivities,26409000,16169000,18651000,14012000,PWH.AX
depreciation,5739000,4705000,2470000,1666000,PWH.AX
otherCashflowsFromInvestingActivities,79000,1079000,49000,98000,PWH.AX
dividendsPaid,-6812000,-8802000,-7800000,-5800000,PWH.AX
changeToInventory,39000,663000,-406000,495000,PWH.AX
changeToAccountReceivables,-2409000,-2243000,-635000,-609000,PWH.AX
changeToNetincome,1572000,1331000,35000,1218000,PWH.AX
capitalExpenditures,-10365000,-7763000,-5985000,-5199000,PWH.AX
