Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,PWH.AX
effectOfAccountingCharges,,,,,PWH.AX
incomeBeforeTax,22547000,18235000,19836000,14688000,PWH.AX
minorityInterest,,,,,PWH.AX
netIncome,16797000,13049000,14206000,11001000,PWH.AX
sellingGeneralAdministrative,31494000,28803000,27026000,22631000,PWH.AX
grossProfit,61195000,51482000,51483000,41955000,PWH.AX
ebit,20464000,14548000,19289000,15787693,PWH.AX
operatingIncome,20464000,14548000,19289000,15787693,PWH.AX
otherOperatingExpenses,3498000,3426000,2698000,1870307,PWH.AX
interestExpense,-340000,-413000,-71000,-27000,PWH.AX
extraordinaryItems,,,,,PWH.AX
nonRecurring,,,,,PWH.AX
otherItems,,,,,PWH.AX
incomeTaxExpense,5750000,5186000,5630000,3687000,PWH.AX
totalRevenue,79208000,65731000,65411000,51889000,PWH.AX
totalOperatingExpenses,58744000,51183000,46122000,36101307,PWH.AX
costOfRevenue,18013000,14249000,13928000,9934000,PWH.AX
totalOtherIncomeExpenseNet,2083000,3687000,547000,-1099693,PWH.AX
discontinuedOperations,,,,,PWH.AX
netIncomeFromContinuingOps,16797000,13049000,14206000,11001000,PWH.AX
netIncomeApplicableToCommonShares,16797000,13049000,14206000,11001000,PWH.AX
