Breakdown,Value,ticker
zip,3008,PXA.AX
sector,Real Estate,PXA.AX
longBusinessSummary,"PEXA Group Limited operates a digital property settlements platform in Australia. The company operates electronic lodgement network, a cloud-based platform that enables the digital lodgement and settlement for property transactions. Its PEXA lodgement and settlement services transactions include financial institutions lending funds for property purchases and refinances, practitioners representing individual buyers and sellers, and property developers. The company was formerly known as Torrens Group Holdings Limited. PEXA Group Limited was founded in 2010 and is headquartered in Melbourne, Australia.",PXA.AX
city,Melbourne,PXA.AX
phone,61 3 7002 4500,PXA.AX
state,VIC,PXA.AX
country,Australia,PXA.AX
website,https://www.pexa.com.au,PXA.AX
maxAge,86400,PXA.AX
address1,Tower 4,PXA.AX
industry,Real Estate Services,PXA.AX
address2,"Level 16, Collins Square 727 Collins Street Docklands",PXA.AX
