Breakdown,Value,ticker
zip,4217,QEM.AX
sector,Energy,QEM.AX
longBusinessSummary,"QEM Limited explores for and develops vanadium and oil shale project in Australia. Its flagship project is the Julia Creek oil shale and vanadium project covering an area of 249.6 square kilometers located in the Julia Creek area of North Western Queensland, Australia. The company was formerly known as Queensland Energy & Minerals Pty Ltd and changed its name to QEM Limited in August 2018. QEM Limited was incorporated in 2014 and is headquartered in Surfers Paradis, Australia.",QEM.AX
city,Surfers Paradise,QEM.AX
phone,61 7 5646 9553,QEM.AX
state,QLD,QEM.AX
compensationAsOfEpochDate,1640908800,QEM.AX
country,Australia,QEM.AX
website,https://www.qldem.com.au,QEM.AX
maxAge,86400,QEM.AX
address1,50 Appel Street,QEM.AX
industry,Oil & Gas E&P,QEM.AX
address2,Suite 6A,QEM.AX
