Breakdown,Value,ticker
zip,2153,QFE.AX
sector,Technology,QFE.AX
longBusinessSummary,"QuickFee Limited provides a suite of payment and lending offerings through an online portal to professional, commercial, and personal services providers in Australia and the United States. The company develops QuickFee, an online payment platform and lending solution that enables clients to securely pay invoices up-front or over time. QuickFee Limited was founded in 2009 and is based in Baulkham Hills, Australia.",QFE.AX
city,Baulkham Hills,QFE.AX
phone,61 2 8090 7700,QFE.AX
state,NSW,QFE.AX
compensationAsOfEpochDate,1640908800,QFE.AX
country,Australia,QFE.AX
website,https://www.quickfee.com,QFE.AX
maxAge,86400,QFE.AX
address1,10 Century Circuit,QFE.AX
fax,61 2 8090 7700,QFE.AX
industry,Software—Infrastructure,QFE.AX
address2,Suite 4.07 Norwest,QFE.AX
