Breakdown,Value,ticker
zip,2018,QTM.AX
sector,Healthcare,QTM.AX
longBusinessSummary,"Quantum Health Group Limited distributes medical imaging and patient treatment equipment and services in Australia, Thailand, Korea, the Philippines. It operates through two segments, Medical and Environmental Services. The company distributes medical products in the field of radiology, oncology, aesthetics, and environmental health. It also manufactures energy saving heat pump technology used for heating and cooling systems. The company was formerly known as Quantum Energy Limited. Quantum Health Group Limited was founded in 1975 and is based in Rosebery, Australia. Quantum Health Group Limited was formerly a subsidiary of Crisp Holdings Pty. Ltd. As of February 2, 2022, Quantum Health Group Limited operates as a subsidiary of Paragon Care Limited.",QTM.AX
city,Rosebery,QTM.AX
phone,61 8 0022 8118,QTM.AX
state,NSW,QTM.AX
compensationAsOfEpochDate,1640908800,QTM.AX
country,Australia,QTM.AX
website,https://www.qhealthcare.com.au,QTM.AX
maxAge,86400,QTM.AX
address1,22 Rosebery Avenue,QTM.AX
industry,Medical Devices,QTM.AX
