Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
investments,16470036,3560388,-8803814,-18158603,QVE.AX
changeToLiabilities,-327839,-570720,1206898,714114,QVE.AX
totalCashflowsFromInvestingActivities,16470036,3560388,-8803814,-18158603,QVE.AX
totalCashFromFinancingActivities,-33292277,-22001623,-13764000,-10715957,QVE.AX
changeToOperatingActivities,61316,-126549,44285,153579,QVE.AX
netIncome,5633706,10478231,9387628,11143913,QVE.AX
changeInCash,-12177187,-8865670,-15240312,-20346935,QVE.AX
repurchaseOfStock,-19494494,-10330815,-10330815,-10330815,QVE.AX
totalCashFromOperatingActivities,4645054,9575565,7327502,8527625,QVE.AX
dividendsPaid,-13797783,-11670808,-11008635,-10715957,QVE.AX
changeToAccountReceivables,-42459,259710,-28456,-127471,QVE.AX
