Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,QVE.AX
effectOfAccountingCharges,,,,,QVE.AX
incomeBeforeTax,6606332,11899749,10824206,11658676,QVE.AX
minorityInterest,,,,,QVE.AX
netIncome,5633706,10478231,9387628,11143913,QVE.AX
sellingGeneralAdministrative,2502717,2711225,2895785,2871364,QVE.AX
grossProfit,9359796,14935401,14123725,14929822,QVE.AX
ebit,6754591,12048342,11040983,11864043,QVE.AX
operatingIncome,6754591,12048342,11040983,11864043,QVE.AX
otherOperatingExpenses,102488,175834,186957,194415,QVE.AX
interestExpense,,,,,QVE.AX
extraordinaryItems,,,,,QVE.AX
nonRecurring,,,,,QVE.AX
otherItems,,,,,QVE.AX
incomeTaxExpense,972626,1421518,1436578,514763,QVE.AX
totalRevenue,9359796,14935401,14123725,14929822,QVE.AX
totalOperatingExpenses,2605205,2887059,3082742,3065779,QVE.AX
costOfRevenue,0,0,0,0,QVE.AX
totalOtherIncomeExpenseNet,-148259,-148593,-216777,-205367,QVE.AX
discontinuedOperations,,,,,QVE.AX
netIncomeFromContinuingOps,5633706,10478231,9387628,11143913,QVE.AX
netIncomeApplicableToCommonShares,5633706,10478231,9387628,11143913,QVE.AX
