Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,325903,122223,60180,146544,RAG.AX
totalStockholderEquity,5028878,350014,831134,1548409,RAG.AX
totalAssets,5354781,472237,891314,1694953,RAG.AX
commonStock,32704462,28641172,28641172,28641237,RAG.AX
retainedEarnings,-29977477,-29142835,-28650217,-27915984,RAG.AX
treasuryStock,2301893,851677,840179,823156,RAG.AX
cash,3394825,142060,732949,1402964,RAG.AX
totalCurrentLiabilities,325903,122223,60180,146544,RAG.AX
otherStockholderEquity,2301893,851677,840179,823156,RAG.AX
propertyPlantEquipment,1731631,307309,113602,230099,RAG.AX
totalCurrentAssets,3623150,164928,777712,1464854,RAG.AX
netTangibleAssets,5028878,350014,831134,1548409,RAG.AX
netReceivables,228325,22868,44763,61890,RAG.AX
accountsPayable,305403,78958,21165,119092,RAG.AX
