Breakdown,Value,ticker
zip,6005,RC1.AX
sector,Technology,RC1.AX
longBusinessSummary,"Redcastle Resources Limited, through its subsidiary, E-Collate Pty Ltd, develops communication platforms and data systems to link multi-source data and provide information for decision making in Australia. The company offers E-Collate app, a cross-platform messaging and financials management tool that enables users to collate and analyze SMS, email, instant messages, and bank data, as well as attachments and documents added into the system. It also has an option to acquire 100% in the Redcastle Gold Project. The company serves various industry sectors and consumer groups, including consumer, business, and enterprise groups. The company was formerly known as Transcendence Technologies Limited and changed its name to Redcastle Resources Limited in December 2021. Redcastle Resources Limited was incorporated in 2001 and is based in West Perth, Australia.",RC1.AX
city,West Perth,RC1.AX
phone,61 8 6559 1792,RC1.AX
state,WA,RC1.AX
country,Australia,RC1.AX
website,https://www.tt-limited.com,RC1.AX
maxAge,86400,RC1.AX
address1,1 Altona Street,RC1.AX
fax,61 8 9481 4950,RC1.AX
industry,Software—Application,RC1.AX
address2,Suite 2 Level 1,RC1.AX
