Breakdown,Value,ticker
zip,2000,RCE.AX
sector,Healthcare,RCE.AX
longBusinessSummary,"Recce Pharmaceuticals Ltd, a biotechnology company, engages in the research, development, and commercialization of synthetic antiÂinfectives in Australia, the United States, and the United Kingdom. The company's lead candidate is RECCE 327 to treat blood infections and sepsis derived from E. coli and S. aureus bacteria, including their superbug forms. It also develops RECCE 529, a synthetic anti-infective for viral infections; and RECCE 435, a synthetic polymer anti-infective. The company was formerly known as Recce Limited and changed its name to Recce Pharmaceuticals Ltd in November 2017. Recce Pharmaceuticals Ltd was incorporated in 2007 and is headquartered in Sydney, Australia.",RCE.AX
city,Sydney,RCE.AX
phone,61 2 9256 2571,RCE.AX
state,NSW,RCE.AX
compensationAsOfEpochDate,1640908800,RCE.AX
country,Australia,RCE.AX
website,https://www.recce.com.au,RCE.AX
maxAge,86400,RCE.AX
address1,Aurora Place,RCE.AX
industry,Biotechnology,RCE.AX
address2,Level 25 88 Phillip Street,RCE.AX
