Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,RCP.AX
effectOfAccountingCharges,,,,,RCP.AX
incomeBeforeTax,-2065914,-451494,-760195,117433,RCP.AX
minorityInterest,,,,,RCP.AX
netIncome,-2065914,-451494,-760195,117433,RCP.AX
sellingGeneralAdministrative,1520627,626596,296357,359981,RCP.AX
grossProfit,0,0,0,0,RCP.AX
ebit,-2089079,-635686,-704819,116733,RCP.AX
operatingIncome,-2089079,-635686,-704819,116733,RCP.AX
otherOperatingExpenses,,,,-657982.0,RCP.AX
interestExpense,-56010,-176042,-50513,-33337,RCP.AX
extraordinaryItems,,,,,RCP.AX
nonRecurring,,,,,RCP.AX
otherItems,,,,,RCP.AX
incomeTaxExpense,0,0,0,0,RCP.AX
totalRevenue,0,0,0,0,RCP.AX
totalOperatingExpenses,2089079,635686,704819,-116733,RCP.AX
costOfRevenue,0,0,0,0,RCP.AX
totalOtherIncomeExpenseNet,23165,184192,-55376,700,RCP.AX
discontinuedOperations,,,,,RCP.AX
netIncomeFromContinuingOps,-2065914,-451494,-760195,117433,RCP.AX
netIncomeApplicableToCommonShares,-2065914,-451494,-760195,117433,RCP.AX
