Breakdown,Value,ticker
zip,4000,RCT.AX
sector,Consumer Cyclical,RCT.AX
longBusinessSummary,"Reef Casino Trust owns and leases the Reef Hotel Casino complex located in Cairns, North Queensland, Australia. The company was founded in 1993 and is based in Brisbane, Australia. Reef Casino Trust is a subsidiary of Reef Casino Investments Pty Ltd.",RCT.AX
city,Brisbane,RCT.AX
phone,61 7 3211 3000,RCT.AX
state,QLD,RCT.AX
compensationAsOfEpochDate,1609372800,RCT.AX
country,Australia,RCT.AX
website,https://www.reefcasino.com.au/reef-casino-trust,RCT.AX
maxAge,86400,RCT.AX
address1,Sofitel Hotel,RCT.AX
fax,61 7 3211 4777,RCT.AX
industry,Resorts & Casinos,RCT.AX
address2,Level 3 249 Turbot Street,RCT.AX
