Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
totalLiab,34279382.0,12631895.0,14641614.0,RDG.AX
totalStockholderEquity,85712839.0,66519511.0,15710735.0,RDG.AX
minorityInterest,-20309.0,-78251.0,-367897.0,RDG.AX
deferredLongTermLiab,25055000.0,25055000.0,,RDG.AX
otherCurrentLiab,19261357.0,4084460.0,4457064.0,RDG.AX
totalAssets,119971912.0,79073155.0,29984452.0,RDG.AX
commonStock,74990375.0,57240375.0,7836308.0,RDG.AX
otherCurrentAssets,818181.0,,,RDG.AX
retainedEarnings,10402464.0,9279136.0,7740292.0,RDG.AX
otherLiab,2596065.0,729042.0,809940.0,RDG.AX
treasuryStock,320000.0,,134135.0,RDG.AX
otherAssets,26807457.0,25523775.0,321158.0,RDG.AX
cash,23897426.0,10707614.0,10997263.0,RDG.AX
totalCurrentLiabilities,29692598.0,9739815.0,10295263.0,RDG.AX
deferredLongTermAssetCharges,1752457.0,468775.0,321158.0,RDG.AX
otherStockholderEquity,320000.0,,134135.0,RDG.AX
propertyPlantEquipment,58140705.0,34559278.0,12818311.0,RDG.AX
totalCurrentAssets,35023750.0,18990102.0,16844983.0,RDG.AX
netTangibleAssets,85712839.0,66519511.0,15710735.0,RDG.AX
netReceivables,8943337.0,7788334.0,5039688.0,RDG.AX
inventory,885561.0,50197.0,385532.0,RDG.AX
accountsPayable,8136419.0,2399787.0,2321040.0,RDG.AX
