Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,ticker
changeToLiabilities,17876986,-511130,1767751,RDG.AX
totalCashflowsFromInvestingActivities,1478155,2946943,-3297153,RDG.AX
netBorrowings,-4930935,-3372297,-3846247,RDG.AX
totalCashFromFinancingActivities,-4930935,-3372297,-3846247,RDG.AX
changeToOperatingActivities,564528,78065,143966,RDG.AX
netIncome,1123328,1471776,-1796671,RDG.AX
changeInCash,13189812,-289649,-2325037,RDG.AX
totalCashFromOperatingActivities,16642592,135705,4818363,RDG.AX
depreciation,1222421,2958874,3567355,RDG.AX
otherCashflowsFromInvestingActivities,-1096008,-1096008,-1096008,RDG.AX
changeToInventory,-835364,335335,359419,RDG.AX
changeToAccountReceivables,-2690391,-2770103,-52056,RDG.AX
changeToNetincome,-618916,-1427112,828599,RDG.AX
capitalExpenditures,-4628837,-230912,-349890,RDG.AX
