Breakdown,Value,ticker
zip,6005,RDS.AX
sector,Basic Materials,RDS.AX
longBusinessSummary,"Redstone Resources Limited explores for mineral properties in Australia. The company explores for copper and gold deposits. It holds 100% interest in the Tollu project located in the West Musgrave region of Western Australia. The company also holds 80% interest in the Hantails Gold project situated in the Kalgoorlie-Boulder, Western Australia. Redstone Resources Limited was incorporated in 1999 and is based in West Perth, Australia.",RDS.AX
city,West Perth,RDS.AX
phone,61 8 9328 2552,RDS.AX
state,WA,RDS.AX
country,Australia,RDS.AX
website,https://www.redstone.com.au,RDS.AX
maxAge,86400,RDS.AX
address1,60 Havelock Street,RDS.AX
fax,61 8 9328 2660,RDS.AX
industry,Copper,RDS.AX
