Breakdown,Value,ticker
zip,4000,RFR.AX
sector,Basic Materials,RFR.AX
longBusinessSummary,"Rafaella Resources Limited, explores for and develops tungsten and tin projects in Spain; and nickel, cobalt, copper, and gold projects in Canada. The company primarily owns a 100% interest in the Santa Comba project in Galicia, Spain; the McCleery exploration project in the Yukon Territory, Canada; and Midrim and Laforce projects located in the Quebec Province, Canada. Rafaella Resources Limited was incorporated in 2017 and is based in Brisbane, Australia.",RFR.AX
city,Brisbane,RFR.AX
phone,61 8 9481 0389,RFR.AX
state,QLD,RFR.AX
compensationAsOfEpochDate,1640908800,RFR.AX
country,Australia,RFR.AX
website,https://www.rafaellaresources.com.au,RFR.AX
maxAge,86400,RFR.AX
address1,175 Eagle Street,RFR.AX
fax,61 8 9463 6103,RFR.AX
industry,Other Industrial Metals & Mining,RFR.AX
address2,Level 8,RFR.AX
