Breakdown,Value,ticker
zip,4073,RFX.AX
sector,Industrials,RFX.AX
fullTimeEmployees,83,RFX.AX
longBusinessSummary,"RedFlow Limited develops, manufactures, and sells zinc-bromine flowing electrolyte batteries worldwide. The company offers ZBM2, an energy storage system with 10 kilowatt-hours (kWh) capacity; and ZCell, an 10kWh energy storage system for homes and offices. It also provides Large Scale Battery reference platform for deploying ZBM2 zinc-bromine flow batteries in large energy storage systems; and battery management systems. The company's batteries are used in telecommunications, agriculture, commercial and industrial, grid-scale, and residential applications. RedFlow Limited was founded in 2005 and is headquartered in Brisbane, Australia.",RFX.AX
city,Brisbane,RFX.AX
phone,61 7 3376 0008,RFX.AX
state,QLD,RFX.AX
compensationAsOfEpochDate,1640908800,RFX.AX
country,Australia,RFX.AX
website,https://www.redflow.com,RFX.AX
maxAge,86400,RFX.AX
address1,1/27 Counihan Road,RFX.AX
fax,61 7 3376 3751,RFX.AX
industry,Electrical Equipment & Parts,RFX.AX
address2,Seventeen Mile Rocks,RFX.AX
