Breakdown,Value,ticker
zip,6000,RMT.AX
sector,Basic Materials,RMT.AX
longBusinessSummary,"RMA Energy Limited explores for mineral resources in Australia. It holds interests in the EPM 15136 tenement with 47 blocks located in Mt Isa, as well as EPM 19736 tenement with 17 blocks located in Townsville, Queensland. The company was incorporated in 2007 and is headquartered in Perth, Australia. RMA Energy Limited is a subsidiary of CREC Resources (Aust) Pty Ltd.",RMT.AX
city,Perth,RMT.AX
phone,61 8 9463 2463,RMT.AX
state,WA,RMT.AX
country,Australia,RMT.AX
website,https://www.rmaenergy.com.au,RMT.AX
maxAge,86400,RMT.AX
address1,88 William Street,RMT.AX
fax,61 8 9463 2499,RMT.AX
industry,Other Industrial Metals & Mining,RMT.AX
address2,Level 3,RMT.AX
