Breakdown,Value,ticker
zip,6151,RND.AX
sector,Basic Materials,RND.AX
longBusinessSummary,"Rand Mining Limited explores for, develops, and produces mineral properties in Australia. It primarily explores for gold and silver deposits. The company holds a 12.25% interest in the East Kundana Joint Venture located to the west north west of Kalgoorlie and north east of Coolgardie. It also has a 50% interest in the Seven Mile Hill project in Western Australia. The company was incorporated in 1966 and is based in South Perth, Australia.",RND.AX
city,South Perth,RND.AX
phone,61 8 9474 2113,RND.AX
state,WA,RND.AX
compensationAsOfEpochDate,1640908800,RND.AX
country,Australia,RND.AX
website,https://www.randmining.com.au,RND.AX
maxAge,86400,RND.AX
address1,49 Melville Parade,RND.AX
fax,61 8 9367 9386,RND.AX
industry,Gold,RND.AX
address2,Suite G1,RND.AX
