Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,726639.0,1882833.0,3841141.0,6005000.0,RNE.AX
totalStockholderEquity,2697461.0,2382712.0,7045829.0,8650000.0,RNE.AX
totalAssets,3424100.0,4265545.0,10886970.0,14655000.0,RNE.AX
commonStock,358435465.0,357069848.0,357074708.0,355287000.0,RNE.AX
otherCurrentAssets,150000.0,540863.0,429687.0,5784000.0,RNE.AX
retainedEarnings,-355738004.0,-354750907.0,-350197535.0,-346708000.0,RNE.AX
cash,2468210.0,2448803.0,1424915.0,1453000.0,RNE.AX
totalCurrentLiabilities,726639.0,1882833.0,2595090.0,4901000.0,RNE.AX
propertyPlantEquipment,25389.0,39650.0,6097674.0,5968000.0,RNE.AX
totalCurrentAssets,3398711.0,3531310.0,2622779.0,8142000.0,RNE.AX
netTangibleAssets,2697461.0,2382712.0,7045829.0,8650000.0,RNE.AX
netReceivables,629787.0,327540.0,347893.0,586000.0,RNE.AX
accountsPayable,76669.0,301816.0,398613.0,1257000.0,RNE.AX
otherCurrentLiab,,1425201.0,1406818.0,723000.0,RNE.AX
treasuryStock,,63771.0,168656.0,71000.0,RNE.AX
otherAssets,,694585.0,1636140.0,545000.0,RNE.AX
otherStockholderEquity,,63771.0,168656.0,71000.0,RNE.AX
otherLiab,,,114575.0,1104000.0,RNE.AX
shortLongTermDebt,,,55183.0,,RNE.AX
longTermInvestments,,,530377.0,,RNE.AX
longTermDebt,,,1131476.0,,RNE.AX
inventory,,,59300.0,20000.0,RNE.AX
