Breakdown,Value,ticker
zip,4064,RNE.AX
sector,Utilities,RNE.AX
longBusinessSummary,"ReNu Energy Limited does not have significant operations. It focuses on investing in companies in the areas of renewable and clean energy technologies. Previously, the company was engaged in developing bioenergy projects. The company was formerly known as Geodynamics Limited and changed its name to Renu Energy Limited in November 2016. ReNu Energy Limited was incorporated in 2000 and is based in Milton, Australia.",RNE.AX
city,Milton,RNE.AX
phone,61 7 3721 7500,RNE.AX
state,QLD,RNE.AX
compensationAsOfEpochDate,1640908800,RNE.AX
country,Australia,RNE.AX
website,https://www.renuenergy.com.au,RNE.AX
maxAge,86400,RNE.AX
address1,Corporate House,RNE.AX
fax,61 7 3721 7599,RNE.AX
industry,Utilities—Independent Power Producers,RNE.AX
address2,Level 2 Kings Row 1 52 McDougall Street,RNE.AX
