Breakdown,Value,ticker
zip,3121,RNO.AX
sector,Healthcare,RNO.AX
longBusinessSummary,"Rhinomed Limited engages in the research, development, and commercialization of consumer and medical devices worldwide. It identifies, acquires, and commercializes nasal stent delivery technologies. The company's product portfolio includes Turbine for enhanced breathing in sports; Mute, an anti-snoring device; Pronto, a vapor inhaler to improve airflow and better sleep; and Rhinoswab that is used to collect a nasal swab. It also engages in developing programs in various markets, including sleep and sleep architecture, the impact of sleep and respiratory, function on cognitive issues, obstructive sleep apnea, pain, nausea, respiratory disease, and diagnostics and sensors; and offers a drug delivery platform for the delivery of cannabinoid formulations. The company was formerly known as Consegna Group Limited and changed its name to Rhinomed Limited in November 2013. Rhinomed Limited was incorporated in 2004 and is based in Cremorne, Australia.",RNO.AX
city,Cremorne,RNO.AX
phone,61 3 8416 0900,RNO.AX
state,VIC,RNO.AX
compensationAsOfEpochDate,1640908800,RNO.AX
country,Australia,RNO.AX
website,https://www.rhinomed.global,RNO.AX
maxAge,86400,RNO.AX
address1,132 Gwynne Street,RNO.AX
fax,61 3 8080 0796,RNO.AX
industry,Medical Devices,RNO.AX
address2,Level 1,RNO.AX
