Breakdown,Value,ticker
zip,4000,RUL.AX
sector,Technology,RUL.AX
longBusinessSummary,"RPMGlobal Holdings Limited develops and provides mining software solutions in Australia, Asia, the Americas, Africa, and Europe. The company provides software licensing, consulting, implementation, and support services; technical, advisory, and training services; and laboratory coal gas testing services. It also offers various software and solutions, such as enterprise planning framework; ISA-95, an open standard communication protocol; RESERVER, a mine reserve model; XECUTE that enables planners to build an ultra-short term schedule for providing link between medium term planning and operational execution; XPAC Solution, a scheduling software for oil sands, open cut coal and phosphate mines, open pit diamond and metal mines, quarries, underground coal and metal mines, steep coal, and stratigraphic metals; and XACT, a short-term mining operation solution. In addition, the company provides HAULISM, a 3-D discrete event simulation software; SIMULATE, a discrete event simulation software for original equipment manufacturers (OEMs); TALPAC, a haulage and loading simulator; Underground Coal TALPAC, a planning and productivity modelling solution; and DRAGSIM, a dragline simulation software. Further, it offers XERAS Enterprise, a zero-based budgeting solution; XERAS, a financial modelling solution; Shift Manager, a mine engineering and shift management software; MINVU, a mining management software; and AMT, an asset maintenance software for contractors and OEMs, as well as AMT4SAP to SAP's work management solution. The company was formerly known as RungePincockMinarco Limited and changed its name to RPMGlobal Holdings Limited in March 2017. RPMGlobal Holdings Limited was founded in 1968 and is headquartered in Brisbane, Australia.",RUL.AX
city,Brisbane,RUL.AX
phone,61 7 3100 7200,RUL.AX
state,QLD,RUL.AX
compensationAsOfEpochDate,1640908800,RUL.AX
country,Australia,RUL.AX
website,https://www.rpmglobal.com,RUL.AX
maxAge,86400,RUL.AX
address1,310 Ann Street,RUL.AX
fax,61 7 3100 7297,RUL.AX
industry,Software—Application,RUL.AX
address2,Level 14,RUL.AX
