Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,1883129.0,-1032277.0,-933336.0,2863762.0,SFG.AX
totalCashflowsFromInvestingActivities,-486018.0,-4294684.0,-4895427.0,-2761224.0,SFG.AX
netBorrowings,10707540.0,-570301.0,-3961903.0,9334985.0,SFG.AX
totalCashFromFinancingActivities,10744321.0,11466552.0,47121119.0,11496690.0,SFG.AX
changeToOperatingActivities,232558.0,-85992.0,-1165670.0,-85970.0,SFG.AX
issuanceOfStock,36781.0,12036853.0,52448097.0,2505000.0,SFG.AX
netIncome,-25755546.0,-25542668.0,-30944301.0,-19947283.0,SFG.AX
changeInCash,-5968943.0,-9836534.0,12162986.0,-7735235.0,SFG.AX
totalCashFromOperatingActivities,-16227246.0,-17008402.0,-30062706.0,-16470701.0,SFG.AX
depreciation,3982744.0,4095758.0,2334282.0,1870141.0,SFG.AX
changeToInventory,932226.0,3564926.0,-2927760.0,-836332.0,SFG.AX
changeToAccountReceivables,593448.0,-117543.0,1445860.0,-2365051.0,SFG.AX
changeToNetincome,1904195.0,2109394.0,2128219.0,1935863.0,SFG.AX
capitalExpenditures,-486018.0,-4294684.0,-5006647.0,-2794033.0,SFG.AX
otherCashflowsFromInvestingActivities,,,111220.0,32809.0,SFG.AX
otherCashflowsFromFinancingActivities,,,-1365075.0,-343295.0,SFG.AX
