Breakdown,2021-04-30 00:00:00,2020-04-30 00:00:00,2019-04-30 00:00:00,2018-04-30 00:00:00,ticker
changeToLiabilities,-17238000.0,25024000.0,9115000.0,31048000.0,SGLLV.AX
totalCashflowsFromInvestingActivities,-83840000.0,-30690000.0,-46541000.0,-21473000.0,SGLLV.AX
netBorrowings,54242000.0,-24089000.0,-45958000.0,29465000.0,SGLLV.AX
totalCashFromFinancingActivities,39740000.0,-38021000.0,-58959000.0,13833000.0,SGLLV.AX
changeToOperatingActivities,92607000.0,-48671000.0,-205916000.0,141085000.0,SGLLV.AX
netIncome,20767000.0,27013000.0,31498000.0,42695000.0,SGLLV.AX
changeInCash,-7978000.0,21074000.0,-112462000.0,73022000.0,SGLLV.AX
effectOfExchangeRate,-2888000.0,252000.0,2143000.0,207000.0,SGLLV.AX
totalCashFromOperatingActivities,39010000.0,89533000.0,-9105000.0,80455000.0,SGLLV.AX
depreciation,24162000.0,26721000.0,20736000.0,20194000.0,SGLLV.AX
dividendsPaid,-14502000.0,-13932000.0,-13357000.0,-16340000.0,SGLLV.AX
changeToInventory,-98378000.0,84054000.0,145401000.0,-135221000.0,SGLLV.AX
changeToAccountReceivables,22626000.0,-27861000.0,-19147000.0,-29725000.0,SGLLV.AX
changeToNetincome,-4347000.0,1650000.0,2408000.0,4423000.0,SGLLV.AX
capitalExpenditures,-18934000.0,-31294000.0,-40809000.0,-21725000.0,SGLLV.AX
issuanceOfStock,,,686000.0,939000.0,SGLLV.AX
otherCashflowsFromFinancingActivities,,,-330000.0,-231000.0,SGLLV.AX
