Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,14561.0,-87479.0,-101239.0,0.0,SHH.AX
totalCashflowsFromInvestingActivities,-362998.0,-253548.0,-229459.0,15502.0,SHH.AX
netBorrowings,-10234.0,-9936.0,-9936.0,-9936.0,SHH.AX
totalCashFromFinancingActivities,3945197.0,-9936.0,1252643.0,1252643.0,SHH.AX
changeToOperatingActivities,433.0,-10000.0,-10000.0,418335.0,SHH.AX
issuanceOfStock,4200000.0,4200000.0,1436061.0,1436061.0,SHH.AX
netIncome,-1022321.0,-453342.0,-33581.0,-1854708.0,SHH.AX
changeInCash,3068396.0,-670696.0,423235.0,-448870.0,SHH.AX
totalCashFromOperatingActivities,-513803.0,-407212.0,-599949.0,-464372.0,SHH.AX
depreciation,127892.0,81435.0,171624.0,919456.0,SHH.AX
changeToAccountReceivables,1869.0,-12752.0,-26753.0,23726.0,SHH.AX
otherCashflowsFromFinancingActivities,-244569.0,-244569.0,-183418.0,-183418.0,SHH.AX
changeToNetincome,363763.0,74926.0,-610000.0,28819.0,SHH.AX
capitalExpenditures,-362998.0,-253548.0,-229459.0,-3498.0,SHH.AX
otherCashflowsFromInvestingActivities,,,,19000.0,SHH.AX
