Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,6303000.0,4862000.0,1202000.0,363000.0,SHJ.AX
totalLiab,318050000.0,303199000.0,283172000.0,211574000.0,SHJ.AX
totalStockholderEquity,255000000.0,237117000.0,222303000.0,218140000.0,SHJ.AX
minorityInterest,141000.0,103000.0,105000.0,,SHJ.AX
deferredLongTermLiab,6124000.0,7935000.0,10584000.0,10278000.0,SHJ.AX
otherCurrentLiab,93203000.0,86871000.0,69669000.0,61004000.0,SHJ.AX
totalAssets,573191000.0,540419000.0,505580000.0,429714000.0,SHJ.AX
commonStock,53223000.0,53223000.0,53150000.0,53150000.0,SHJ.AX
retainedEarnings,200840000.0,183514000.0,168966000.0,165321000.0,SHJ.AX
otherLiab,107426000.0,96922000.0,86204000.0,77455000.0,SHJ.AX
goodWill,36151000.0,36152000.0,36158000.0,37650000.0,SHJ.AX
treasuryStock,937000.0,380000.0,187000.0,-331000.0,SHJ.AX
otherAssets,174918000.0,159413000.0,144367000.0,130320000.0,SHJ.AX
cash,55992000.0,32812000.0,26697000.0,22549000.0,SHJ.AX
totalCurrentLiabilities,129931000.0,116955000.0,99082000.0,81243000.0,SHJ.AX
shortLongTermDebt,1960000.0,1341000.0,908000.0,753000.0,SHJ.AX
otherStockholderEquity,937000.0,380000.0,187000.0,-331000.0,SHJ.AX
propertyPlantEquipment,38250000.0,43881000.0,50910000.0,7635000.0,SHJ.AX
totalCurrentAssets,317469000.0,296111000.0,272943000.0,253746000.0,SHJ.AX
longTermInvestments,100000.0,,,,SHJ.AX
netTangibleAssets,212546000.0,196103000.0,184943000.0,180127000.0,SHJ.AX
netReceivables,257390000.0,260316000.0,243376000.0,68363000.0,SHJ.AX
longTermDebt,45000000.0,45000000.0,45000000.0,42000000.0,SHJ.AX
accountsPayable,6823000.0,5676000.0,6693000.0,5318000.0,SHJ.AX
inventory,,,,160245000.0,SHJ.AX
