Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
investments,1200000,-1200000,-1200000,-1200000,SHN.AX
changeToLiabilities,-44437,-169064,50189,66364,SHN.AX
totalCashflowsFromInvestingActivities,-489564,741880,741880,2248320,SHN.AX
netBorrowings,-188776,-188776,-188776,-188776,SHN.AX
totalCashFromFinancingActivities,1708838,1708838,466676,466676,SHN.AX
changeToOperatingActivities,-25010,7510,-3857,-1685,SHN.AX
issuanceOfStock,2026845,2026845,466676,466676,SHN.AX
netIncome,-1064797,21556,-1909870,3225509,SHN.AX
changeInCash,97754,60884,-93932,1681704,SHN.AX
totalCashFromOperatingActivities,-1121520,-680996,-560608,-566616,SHN.AX
depreciation,8538,8538,8538,8538,SHN.AX
otherCashflowsFromInvestingActivities,225000,-274000,-274000,-274000,SHN.AX
changeToAccountReceivables,-78814,-1045,6942,2123,SHN.AX
otherCashflowsFromFinancingActivities,-129231,-129231,-129231,-129231,SHN.AX
changeToNetincome,83000,-539953,1295988,-3858927,SHN.AX
capitalExpenditures,-1967719,-14120,-14120,-1680,SHN.AX
