Breakdown,Value,ticker
zip,3004,SIO.AX
sector,Consumer Cyclical,SIO.AX
fullTimeEmployees,800,SIO.AX
longBusinessSummary,"Simonds Group Limited, together with its subsidiaries, provides homebuilder and registered training services in Australia. It operates through Residential Construction, Registered Training, and Development segments. The company designs and constructs residential dwellings; develops and sells residential land; contracts for residential home construction, speculative home building, and the building of display home inventory; and provides registered training courses, payroll and asset services, and intellectual property services. It operates display homes across the Australian eastern seaboard and South Australia. The company was formerly known as Simonds Homes Holdings Pty Ltd and changed its name to Simonds Group Limited in September 2014. Simonds Group Limited was founded in 1949 and is based in Melbourne, Australia.",SIO.AX
city,Melbourne,SIO.AX
phone,61 1300 746 435,SIO.AX
state,VIC,SIO.AX
compensationAsOfEpochDate,1640908800,SIO.AX
country,Australia,SIO.AX
website,https://www.simondsgroup.com.au,SIO.AX
maxAge,86400,SIO.AX
address1,570 St Kilda Road,SIO.AX
industry,Residential Construction,SIO.AX
address2,Level 4,SIO.AX
