Breakdown,Value,ticker
zip,4000,SIT.AX
sector,Consumer Defensive,SIT.AX
fullTimeEmployees,194,SIT.AX
longBusinessSummary,"Site Group International Limited provides training and education services to retail and corporate clients in Australia and internationally. The company operates through three segments: Site Skills TrainingÂInternational, Energy Services, and Tertiary Education. The Site Skills TrainingÂInternational segment operates a facility in the Philippines to provide Australian standard training services; and provides recruitment and assessment services for international clients, as well as training and competency assurance services to organizations and governments. The Energy Services segment offers energy training and services to the oil and gas industry, including workforce design and identification, skills training, and competency assessment and assurance services. The Tertiary Education segment provides diploma and certificate level courses under the Site Institute brand; and English language courses and conferences, as well as access to training, consulting, industry conferences, and academic journals. It also offers online courses conferences and seminars. The company is based in Brisbane, Australia.",SIT.AX
city,Brisbane,SIT.AX
phone,61 7 3114 5188,SIT.AX
state,QLD,SIT.AX
compensationAsOfEpochDate,1640908800,SIT.AX
country,Australia,SIT.AX
website,https://www.site.edu.au,SIT.AX
maxAge,86400,SIT.AX
address1,488 Queen Street,SIT.AX
fax,61 7 3229 5678,SIT.AX
industry,Education & Training Services,SIT.AX
address2,Level 2,SIT.AX
