Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,-12288000.0,-33289000.0,20245000.0,60635000.0,SKC.AX
totalCashflowsFromInvestingActivities,-254979000.0,-99269000.0,-116483000.0,-253791000.0,SKC.AX
netBorrowings,-63106000.0,11218000.0,28000000.0,94497000.0,SKC.AX
totalCashFromFinancingActivities,-37490000.0,-8247000.0,-170222000.0,-16070000.0,SKC.AX
changeToOperatingActivities,18375000.0,-24287000.0,-23090000.0,-35313000.0,SKC.AX
issuanceOfStock,46683000.0,177597000.0,397000.0,228000.0,SKC.AX
netIncome,156126000.0,235388000.0,144581000.0,169519000.0,SKC.AX
changeInCash,-4284000.0,12650000.0,-34381000.0,19228000.0,SKC.AX
totalCashFromOperatingActivities,288185000.0,120166000.0,252324000.0,289089000.0,SKC.AX
depreciation,77747000.0,74079000.0,72294000.0,74699000.0,SKC.AX
otherCashflowsFromInvestingActivities,-77507000.0,119177000.0,184861000.0,184861000.0,SKC.AX
changeToInventory,-559000.0,-169000.0,1111000.0,-533000.0,SKC.AX
changeToAccountReceivables,8847000.0,7041000.0,-25914000.0,-6016000.0,SKC.AX
otherCashflowsFromFinancingActivities,-21067000.0,-43771000.0,-34247000.0,-25713000.0,SKC.AX
changeToNetincome,8802000.0,-136141000.0,44258000.0,29032000.0,SKC.AX
capitalExpenditures,-171673000.0,-326877000.0,-303651000.0,-206466000.0,SKC.AX
repurchaseOfStock,,-20003000.0,-37274000.0,-37274000.0,SKC.AX
dividendsPaid,,-133288000.0,-127098000.0,-85082000.0,SKC.AX
investments,,,,-2637000.0,SKC.AX
