Breakdown,Value,ticker
zip,0627,SMP.AX
sector,Technology,SMP.AX
longBusinessSummary,"Smartpay Holdings Limited designs, develops, and implements technology products, services, and software to merchants and retailers in New Zealand and Australia. It provides payment and data management solutions for retail, business payment, and transactional processing requirements. The company also engages in selling Eftpos terminals; and provides hardware, software, and maintenance and repairs services. The company serves 25,000 merchants with approximately 35,000 EFTPOS terminals. It serves retail, trade, taxi and transport, charities and schools, hospitality, and tourism industries. The company was incorporated in 1986 and is based in Auckland, New Zealand.",SMP.AX
city,Auckland,SMP.AX
phone,64 9 442 2700,SMP.AX
compensationAsOfEpochDate,1640908800,SMP.AX
country,New Zealand,SMP.AX
website,https://www.smartpay.co.nz,SMP.AX
maxAge,86400,SMP.AX
address1,205-209 Wairau Road,SMP.AX
fax,64 9 442 2722,SMP.AX
industry,Software—Infrastructure,SMP.AX
address2,Wairau Valley PO Box 100490 North Shore Mail Centre,SMP.AX
