Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,5587000.0,1548000.0,2198000.0,1122000.0,SNL.AX
totalCashflowsFromInvestingActivities,-1423000.0,-1957000.0,-2834000.0,-2945000.0,SNL.AX
netBorrowings,-3279000.0,-2798000.0,4567000.0,-28000.0,SNL.AX
totalCashFromFinancingActivities,-10214000.0,-8912000.0,-1140000.0,-4512000.0,SNL.AX
changeToOperatingActivities,-248000.0,25000.0,3000.0,4000.0,SNL.AX
netIncome,13846000.0,9548000.0,8690000.0,8176000.0,SNL.AX
changeInCash,4955000.0,361000.0,-1532000.0,-1450000.0,SNL.AX
totalCashFromOperatingActivities,16592000.0,11232000.0,2399000.0,6058000.0,SNL.AX
depreciation,5911000.0,5682000.0,1342000.0,1091000.0,SNL.AX
dividendsPaid,-6935000.0,-6114000.0,-5707000.0,-4484000.0,SNL.AX
changeToInventory,-7231000.0,-4674000.0,-8648000.0,-2784000.0,SNL.AX
changeToAccountReceivables,-2753000.0,-1104000.0,-857000.0,-1407000.0,SNL.AX
changeToNetincome,1480000.0,207000.0,-329000.0,-144000.0,SNL.AX
capitalExpenditures,-1451000.0,-1965000.0,-2835000.0,-2945000.0,SNL.AX
effectOfExchangeRate,,-2000.0,43000.0,-51000.0,SNL.AX
