Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
researchDevelopment,,,,,SNZ.AX
effectOfAccountingCharges,,,,,SNZ.AX
incomeBeforeTax,221735000,173561000,216173000,240228000,SNZ.AX
minorityInterest,,,,,SNZ.AX
netIncome,230776000,175262000,214503000,239938000,SNZ.AX
sellingGeneralAdministrative,158000,217000,1311000,1029000,SNZ.AX
grossProfit,16424000,31547000,25660000,22751000,SNZ.AX
ebit,8169000,23497000,17664000,17094000,SNZ.AX
operatingIncome,8169000,23497000,17664000,17094000,SNZ.AX
otherOperatingExpenses,,,,,SNZ.AX
interestExpense,-7697000,-7257000,-8219000,-10316000,SNZ.AX
extraordinaryItems,,,,,SNZ.AX
nonRecurring,,,,,SNZ.AX
otherItems,,,,,SNZ.AX
incomeTaxExpense,-9041000,-1701000,1670000,290000,SNZ.AX
totalRevenue,172371000,153729000,136791000,110309000,SNZ.AX
totalOperatingExpenses,164202000,130232000,119127000,93215000,SNZ.AX
costOfRevenue,155947000,122182000,111131000,87558000,SNZ.AX
totalOtherIncomeExpenseNet,213566000,150064000,198509000,223134000,SNZ.AX
discontinuedOperations,,,,,SNZ.AX
netIncomeFromContinuingOps,230776000,175262000,214503000,239938000,SNZ.AX
netIncomeApplicableToCommonShares,230776000,175262000,214503000,239938000,SNZ.AX
