Breakdown,Value,ticker
zip,2000,SOL.AX
sector,Energy,SOL.AX
fullTimeEmployees,28,SOL.AX
compensationRisk,2,SOL.AX
auditRisk,7,SOL.AX
longBusinessSummary,"Washington H. Soul Pattinson and Company Limited, together with its subsidiaries, engages in the equity investment, mining, and property investment businesses. It is involved in the coal, oil, and gas activities, which include exploration, development, production, processing, associated transport infrastructure, and ancillary activities. The company also engages in the zinc, copper, and gold mining activities comprising exploration, mining, and processing of ore into zinc and copper concentrate, copper sulphide, and gold. In addition, it produces and sells citrus and stone fruit, table grapes, kiwifruit, macadamia, and cotton products. Further, the company invests in equities, hybrid instruments, derivatives, property, corporate loans, and cash. Washington H. Soul Pattinson and Company Limited was founded in 1872 and is based in Sydney, Australia.",SOL.AX
city,Sydney,SOL.AX
phone,61 2 9210 7070,SOL.AX
state,NSW,SOL.AX
shareHolderRightsRisk,5,SOL.AX
compensationAsOfEpochDate,1640908800,SOL.AX
governanceEpochDate,1632614400,SOL.AX
boardRisk,8,SOL.AX
country,Australia,SOL.AX
website,https://www.whsp.com.au,SOL.AX
maxAge,86400,SOL.AX
overallRisk,6,SOL.AX
address1,151 Clarence Street,SOL.AX
fax,61 2 9210 7077,SOL.AX
industry,Thermal Coal,SOL.AX
address2,Level 14,SOL.AX
