Breakdown,Value,ticker
zip,6106,SP3.AX
sector,Industrials,SP3.AX
fullTimeEmployees,31,SP3.AX
longBusinessSummary,"Spectur Limited designs, develops, manufactures, and sells remote solar sensing, thinking, and acting platforms, and related products and services in Australia. The company offers solar security wireless camera systems, including STA6, a vision and sensing platform to monitoring and detection; HD5, a camera system for security, surveillance, time-lapse capture, and robust safety and warning system; and mobile surveillance accessories, including trailers and bases, solar-powered lighting, sensors, and smart devices. It also provides security solutions, which includes surveillance and security cameras; deterrence and crime prevention; emergency warning and safety systems; and remote sensing and AI solutions. The company's products are used in construction and building, engineering, government, and utility sectors. Spectur Limited was incorporated in 2009 and is headquartered in Welshpool, Australia.",SP3.AX
city,Welshpool,SP3.AX
phone,1300 802 960,SP3.AX
state,WA,SP3.AX
compensationAsOfEpochDate,1640908800,SP3.AX
country,Australia,SP3.AX
website,https://www.spectur.com.au,SP3.AX
maxAge,86400,SP3.AX
address1,12 Fargo Way,SP3.AX
fax,1300 802 960,SP3.AX
industry,Security & Protection Services,SP3.AX
