Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,10938000.0,7752000.0,6464000.0,5234000.0,SPL.AX
totalStockholderEquity,62300000.0,31326000.0,42395000.0,53277000.0,SPL.AX
otherCurrentLiab,1655000.0,515000.0,1246000.0,1185000.0,SPL.AX
totalAssets,73238000.0,39078000.0,48859000.0,58511000.0,SPL.AX
commonStock,240630000.0,193661000.0,193621000.0,193583000.0,SPL.AX
retainedEarnings,-202407000.0,-182675000.0,-168001000.0,-153746000.0,SPL.AX
otherLiab,34000.0,85000.0,38000.0,47000.0,SPL.AX
treasuryStock,24077000.0,20340000.0,16775000.0,13440000.0,SPL.AX
cash,60500000.0,30054000.0,41251000.0,51319000.0,SPL.AX
totalCurrentLiabilities,10429000.0,6697000.0,6426000.0,5164000.0,SPL.AX
otherStockholderEquity,24077000.0,20340000.0,16775000.0,13440000.0,SPL.AX
propertyPlantEquipment,2483000.0,2402000.0,1050000.0,1058000.0,SPL.AX
totalCurrentAssets,70755000.0,36676000.0,47809000.0,57453000.0,SPL.AX
netTangibleAssets,62300000.0,31326000.0,42395000.0,53277000.0,SPL.AX
netReceivables,8439000.0,6087000.0,6080000.0,6097000.0,SPL.AX
inventory,1721000.0,494000.0,399000.0,,SPL.AX
accountsPayable,6711000.0,4394000.0,4098000.0,3023000.0,SPL.AX
