Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,38787000.0,7149000.0,12991000.0,9569000.0,SRL.AX
totalStockholderEquity,22488000.0,42370000.0,237568000.0,252156000.0,SRL.AX
otherCurrentLiab,37172000.0,3868000.0,8080000.0,3762000.0,SRL.AX
totalAssets,61275000.0,49233000.0,250467000.0,261725000.0,SRL.AX
commonStock,326428000.0,289637000.0,289637000.0,289293000.0,SRL.AX
otherCurrentAssets,21249000.0,235000.0,100000.0,,SRL.AX
retainedEarnings,-285167000.0,-264102000.0,-66550000.0,-48629000.0,SRL.AX
otherLiab,570000.0,732000.0,748000.0,686000.0,SRL.AX
treasuryStock,-18773000.0,16835000.0,14481000.0,11492000.0,SRL.AX
otherAssets,147000.0,3525000.0,7466000.0,8157000.0,SRL.AX
cash,38652000.0,40083000.0,78871000.0,152637000.0,SRL.AX
totalCurrentLiabilities,38073000.0,5426000.0,12106000.0,8883000.0,SRL.AX
otherStockholderEquity,-18773000.0,16835000.0,14481000.0,11492000.0,SRL.AX
propertyPlantEquipment,597000.0,1922000.0,142613000.0,95474000.0,SRL.AX
totalCurrentAssets,60531000.0,43320000.0,97502000.0,155458000.0,SRL.AX
netTangibleAssets,22488000.0,42214000.0,235520000.0,250323000.0,SRL.AX
netReceivables,630000.0,3002000.0,18435000.0,2725000.0,SRL.AX
accountsPayable,426000.0,533000.0,3124000.0,4508000.0,SRL.AX
intangibleAssets,,156000.0,2048000.0,1833000.0,SRL.AX
minorityInterest,,-286000.0,-92000.0,,SRL.AX
deferredLongTermLiab,,3379000.0,7319000.0,7929000.0,SRL.AX
longTermInvestments,,310000.0,838000.0,803000.0,SRL.AX
longTermDebt,,340000.0,137000.0,,SRL.AX
inventory,,,96000.0,96000.0,SRL.AX
