Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,423692000.0,502966000.0,133440000.0,131505000.0,SRV.AX
totalStockholderEquity,201104000.0,220961000.0,238593000.0,250165000.0,SRV.AX
otherCurrentLiab,61351000.0,75915000.0,86932000.0,82330000.0,SRV.AX
totalAssets,624796000.0,723927000.0,372033000.0,381670000.0,SRV.AX
commonStock,151594000.0,151594000.0,151594000.0,151594000.0,SRV.AX
otherCurrentAssets,14145000.0,16408000.0,24452000.0,25577000.0,SRV.AX
retainedEarnings,65737000.0,61044000.0,90084000.0,109877000.0,SRV.AX
otherLiab,1263000.0,1152000.0,30810000.0,30668000.0,SRV.AX
goodWill,13775000.0,13775000.0,13775000.0,14805000.0,SRV.AX
treasuryStock,-16227000.0,8323000.0,-3085000.0,-11306000.0,SRV.AX
otherAssets,79537000.0,81689000.0,73676000.0,64906000.0,SRV.AX
cash,93783000.0,99887000.0,65091000.0,93444000.0,SRV.AX
totalCurrentLiabilities,161720000.0,191860000.0,102630000.0,100837000.0,SRV.AX
deferredLongTermAssetCharges,38294000.0,37047000.0,27093000.0,24466000.0,SRV.AX
otherStockholderEquity,-11494000.0,13056000.0,1648000.0,-6573000.0,SRV.AX
propertyPlantEquipment,392363000.0,476362000.0,145554000.0,134145000.0,SRV.AX
totalCurrentAssets,138104000.0,151077000.0,138441000.0,167119000.0,SRV.AX
longTermInvestments,1017000.0,1024000.0,587000.0,695000.0,SRV.AX
netTangibleAssets,187329000.0,207186000.0,224818000.0,235360000.0,SRV.AX
netReceivables,27017000.0,33269000.0,47828000.0,44406000.0,SRV.AX
accountsPayable,4675000.0,3894000.0,8078000.0,10530000.0,SRV.AX
shortLongTermDebt,,,,521000.0,SRV.AX
