Breakdown,Value,ticker
zip,3205,SRZ.AX
sector,Basic Materials,SRZ.AX
longBusinessSummary,"Stellar Resources Limited, together with its subsidiaries, engages in the exploration of mineral properties in Australia. The company explores for tin, gold, and uranium deposits. Its flagship project is the Heemskirk Tin project located in northwest Tasmania. The company was incorporated in 2004 and is based in Melbourne, Australia.",SRZ.AX
city,Melbourne,SRZ.AX
phone,61 3 9692 7222,SRZ.AX
state,VIC,SRZ.AX
compensationAsOfEpochDate,1640908800,SRZ.AX
country,Australia,SRZ.AX
website,https://www.stellarresources.com.au,SRZ.AX
maxAge,86400,SRZ.AX
address1,96-100 Albert Road,SRZ.AX
fax,61 3 9077 9233,SRZ.AX
industry,Other Industrial Metals & Mining,SRZ.AX
address2,Level 4,SRZ.AX
