Breakdown,Value,ticker
zip,V7X 1G4,SSR.AX
sector,Basic Materials,SSR.AX
compensationRisk,1,SSR.AX
auditRisk,5,SSR.AX
longBusinessSummary,"SSR Mining Inc., together with its subsidiaries, engages in the acquisition, exploration, development, and operation of precious metal resource properties in Turkey and the Americas. The company explores for gold, silver, lead, and zinc deposits. Its projects include the ÃÃ¶pler Gold mine located in Erzincan, Turkey; the Marigold mine located in Humboldt and Lander Counties, Nevada, the United States; the Seabee Gold Operation located in Saskatchewan, Canada; and the Puna Operations in Jujuy, Argentina. The company was formerly known as Silver Standard Resources Inc. and changed its name to SSR Mining Inc. in August 2017. SSR Mining Inc. was incorporated in 1946 and is based in Vancouver, Canada.",SSR.AX
city,Vancouver,SSR.AX
phone,604 689 3846,SSR.AX
state,BC,SSR.AX
shareHolderRightsRisk,1,SSR.AX
compensationAsOfEpochDate,1609372800,SSR.AX
governanceEpochDate,1632614400,SSR.AX
boardRisk,4,SSR.AX
country,Canada,SSR.AX
website,https://www.ssrmining.com,SSR.AX
maxAge,86400,SSR.AX
overallRisk,2,SSR.AX
address1,1055 Dunsmuir Street,SSR.AX
fax,604 689 3847,SSR.AX
industry,Gold,SSR.AX
address2,Suite 800 PO Box 49088 Bentall Postal Station,SSR.AX
