Breakdown,Value,ticker
zip,3205,ST1.AX
sector,Communication Services,ST1.AX
longBusinessSummary,"Spirit Technology Solutions Ltd. provides telecommunication, cloud, managed IT, and cyber security services to small, medium, and enterprise size businesses in Australia. The company offers managed IT services; cyber security; work from home; back-up internet connections and unified communications; personal and business internet; and IT support services. It also provides cyber security services; managed print and Wi-FI services; and cloud services. The company was formerly known as Spirit Telecom Limited and changed its name to Spirit Technology Solutions Ltd. in October 2020. Spirit Technology Solutions Ltd. is based in South Melbourne, Australia.",ST1.AX
city,Melbourne,ST1.AX
phone,1300 007 001,ST1.AX
state,VIC,ST1.AX
compensationAsOfEpochDate,1640908800,ST1.AX
country,Australia,ST1.AX
website,https://www.spirit.com.au,ST1.AX
maxAge,86400,ST1.AX
address1,19-25 Raglan Street,ST1.AX
industry,Telecom Services,ST1.AX
address2,Level 2,ST1.AX
