Breakdown,Value,ticker
zip,6000,SVM.AX
sector,Basic Materials,SVM.AX
longBusinessSummary,"Sovereign Metals Limited, together with its subsidiaries, engages in the identification, exploration, development, and appraisal of mineral resource projects in Malawi. Its flagship project is the Kasiya rutile deposit in Malawi. The company was incorporated in 2006 and is based in Perth, Australia.",SVM.AX
city,Perth,SVM.AX
phone,61 8 9322 6322,SVM.AX
state,WA,SVM.AX
compensationAsOfEpochDate,1640908800,SVM.AX
country,Australia,SVM.AX
website,https://www.sovereignmetals.com.au,SVM.AX
maxAge,86400,SVM.AX
address1,BGC Centre,SVM.AX
fax,+61 8 93226558,SVM.AX
industry,Other Industrial Metals & Mining,SVM.AX
address2,Level 9 28 The Esplanade,SVM.AX
