Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,2768301,-46520,-689937,917545,SYA.AX
totalCashflowsFromInvestingActivities,-4304514,-3001555,-5857942,-5212344,SYA.AX
netBorrowings,-36334,284010,284010,284010,SYA.AX
totalCashFromFinancingActivities,50784421,5209298,-8018,15778242,SYA.AX
changeToOperatingActivities,48318,60208,80687,-127606,SYA.AX
issuanceOfStock,46491520,5262655,16,16920493,SYA.AX
netIncome,-4379498,-5403751,-2225651,-2328463,SYA.AX
changeInCash,35009936,-1329473,-8453605,9059684,SYA.AX
effectOfExchangeRate,-294852,39139,5809,1315,SYA.AX
totalCashFromOperatingActivities,-11175119,-3576355,-2593454,-1507529,SYA.AX
depreciation,133466,1599187,9369,6641,SYA.AX
changeToAccountReceivables,-10180888,101239,232078,-158168,SYA.AX
otherCashflowsFromFinancingActivities,4329235,-337367,-8034,-1142251,SYA.AX
changeToNetincome,435182,113282,113282,182522,SYA.AX
capitalExpenditures,-4304514,-3001555,-5857942,-5212344,SYA.AX
