Breakdown,Value,ticker
zip,6151,TAM.AX
sector,Basic Materials,TAM.AX
longBusinessSummary,"Tanami Gold NL, together with its subsidiaries, engages in the exploration and evaluation of gold properties in Australia. The company's flagship project is the Central Tanami Project located in the Tanami Desert in the Northern Territory. Tanami Gold NL was incorporated in 1968 and is based in South Perth, Australia.",TAM.AX
city,South Perth,TAM.AX
phone,61 8 6373 5130,TAM.AX
state,WA,TAM.AX
compensationAsOfEpochDate,1640908800,TAM.AX
country,Australia,TAM.AX
website,https://www.tanami.com.au,TAM.AX
maxAge,86400,TAM.AX
address1,39 Mends Street,TAM.AX
fax,61 8 6373 5130,TAM.AX
industry,Gold,TAM.AX
address2,Unit 202 Level 2,TAM.AX
