Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
investments,-1191799,-40000,-155536,-155536,TAS.AX
changeToLiabilities,-42439,-251119,404032,-104179,TAS.AX
totalCashflowsFromInvestingActivities,-4367839,-2642847,-4348446,-2995119,TAS.AX
netBorrowings,-399659,5030407,-355086,-221740,TAS.AX
totalCashFromFinancingActivities,15263989,7862292,10768259,9657137,TAS.AX
changeToOperatingActivities,-55966,-45780,-31903,8204,TAS.AX
issuanceOfStock,15663648,2831885,11123345,9878877,TAS.AX
netIncome,-2689560,-3894640,-4256477,-7485412,TAS.AX
changeInCash,4568848,-2774417,-1442028,-3272795,TAS.AX
effectOfExchangeRate,-206726,-22205,7315,-49254,TAS.AX
totalCashFromOperatingActivities,-6120576,-7971657,-7869156,-9885559,TAS.AX
depreciation,2955743,1298411,1097993,3673178,TAS.AX
changeToInventory,-1138801,33509,-117970,-4128,TAS.AX
changeToAccountReceivables,-178455,-96514,-4177,-198729,TAS.AX
changeToNetincome,-4971098,-5015524,-4960654,-5774493,TAS.AX
capitalExpenditures,-1726772,-422214,-2209833,-1480500,TAS.AX
