Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,1274880.0,1514583.0,3934905.0,1018601.0,TBA.AX
totalStockholderEquity,5453965.0,7822232.0,5605238.0,3916447.0,TBA.AX
minorityInterest,-1211435.0,-802484.0,-588682.0,322029.0,TBA.AX
deferredLongTermLiab,980.0,1546.0,3232.0,4777.0,TBA.AX
otherCurrentLiab,327500.0,331450.0,27500.0,30000.0,TBA.AX
totalAssets,5517410.0,8534331.0,8951461.0,5257077.0,TBA.AX
commonStock,27919155.0,27563988.0,23255135.0,15978196.0,TBA.AX
otherCurrentAssets,91728.0,203857.0,1070696.0,,TBA.AX
retainedEarnings,-23348692.0,-20920395.0,-20403816.0,-14131828.0,TBA.AX
otherLiab,511559.0,572091.0,1872131.0,729694.0,TBA.AX
treasuryStock,883502.0,1178639.0,2753919.0,2070079.0,TBA.AX
otherAssets,546039.0,1495102.0,773821.0,128888.0,TBA.AX
cash,948142.0,3209607.0,4792182.0,2075635.0,TBA.AX
totalCurrentLiabilities,763321.0,499023.0,1281809.0,288907.0,TBA.AX
deferredLongTermAssetCharges,511559.0,468056.0,729694.0,83716.0,TBA.AX
otherStockholderEquity,883502.0,1178639.0,2753919.0,2070079.0,TBA.AX
propertyPlantEquipment,2003657.0,1981902.0,1994080.0,2962699.0,TBA.AX
totalCurrentAssets,2967714.0,5057327.0,6183560.0,2165490.0,TBA.AX
netTangibleAssets,5453965.0,7822232.0,5605238.0,3916447.0,TBA.AX
netReceivables,1926044.0,1642063.0,319082.0,88255.0,TBA.AX
accountsPayable,324130.0,55062.0,1254309.0,258907.0,TBA.AX
longTermDebt,,331778.0,780965.0,,TBA.AX
