Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,265736.0,-895294.0,344950.0,155061.0,TBA.AX
totalCashflowsFromInvestingActivities,-86458.0,2249827.0,-140892.0,2285719.0,TBA.AX
netBorrowings,-92166.0,-91785.0,1448774.0,1448774.0,TBA.AX
totalCashFromFinancingActivities,-96999.0,3632281.0,8390255.0,-5447.0,TBA.AX
netIncome,-2759371.0,-2530850.0,-6437030.0,-3350380.0,TBA.AX
changeInCash,-2261465.0,-1582575.0,2716547.0,-2334099.0,TBA.AX
totalCashFromOperatingActivities,-2078008.0,-7472918.0,-5533120.0,-4623599.0,TBA.AX
depreciation,170713.0,181428.0,40164.0,979672.0,TBA.AX
changeToAccountReceivables,713520.0,-823184.0,-231325.0,205307.0,TBA.AX
otherCashflowsFromFinancingActivities,-4833.0,-275934.0,-441019.0,-5447.0,TBA.AX
changeToNetincome,-469172.0,-3407393.0,747886.0,-2615482.0,TBA.AX
capitalExpenditures,-86458.0,-52894.0,-140202.0,-219281.0,TBA.AX
issuanceOfStock,,4000000.0,7382500.0,7382500.0,TBA.AX
effectOfExchangeRate,,8235.0,304.0,9228.0,TBA.AX
