Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,10120000.0,12252000.0,11688000.0,10133000.0,THR.AX
capitalSurplus,24379000.0,22288000.0,21449000.0,19693000.0,THR.AX
totalLiab,326000.0,403000.0,290000.0,345000.0,THR.AX
totalStockholderEquity,12309000.0,12606000.0,12476000.0,11470000.0,THR.AX
otherCurrentLiab,105000.0,104000.0,82000.0,101000.0,THR.AX
totalAssets,12635000.0,13009000.0,12766000.0,11815000.0,THR.AX
commonStock,162000.0,122000.0,81000.0,64000.0,THR.AX
retainedEarnings,-18236000.0,-16339000.0,-15513000.0,-14784000.0,THR.AX
treasuryStock,6004000.0,6535000.0,6459000.0,6497000.0,THR.AX
otherAssets,1091000.0,433000.0,374000.0,134000.0,THR.AX
cash,783000.0,233000.0,523000.0,1374000.0,THR.AX
totalCurrentLiabilities,326000.0,392000.0,290000.0,345000.0,THR.AX
otherStockholderEquity,6004000.0,6535000.0,6459000.0,6497000.0,THR.AX
propertyPlantEquipment,17000.0,48000.0,14000.0,22000.0,THR.AX
totalCurrentAssets,843000.0,276000.0,587000.0,1423000.0,THR.AX
longTermInvestments,564000.0,,103000.0,103000.0,THR.AX
netTangibleAssets,2189000.0,354000.0,788000.0,1337000.0,THR.AX
netReceivables,36000.0,21000.0,45000.0,43000.0,THR.AX
accountsPayable,201000.0,203000.0,163000.0,185000.0,THR.AX
